group_key,domain,category,market_type,leaf_id,price_bin,horizon_bin,price_min,price_max,h_min,h_max,rule_bounds,direction,n_train,n_valid,n_test,n_full,q_smooth,q_raw_est,prior_mean,p_mean,edge_net,edge_sample,edge_std,roi,q_train,q_train_raw,p_train,edge_train,q_valid,p_valid,edge_valid,edge_raw_valid,edge_std_valid,edge_lower_bound_valid,p_value_valid,p_value_valid_adj,q_test,edge_test,rule_score,estimation_source,selection_status,q_trade,p_trade,edge_net_trade,edge_sample_trade,edge_std_trade,roi_trade,q_trade_valid,p_trade_valid,edge_net_trade_valid,edge_sample_trade_valid,edge_std_trade_valid,roi_trade_valid
liquipedia.net|SPORTS|other,liquipedia.net,SPORTS,other,158062187953958,0.50-0.60,2-4h,0.5,0.6,2,4,"{""price_min"": 0.5, ""price_max"": 0.6, ""horizon_min"": 2, ""horizon_max"": 4}",1,281,110,0,391,0.99644128113879,0.99644128113879,,0.5261263345195729,0.47031494661921713,0.4703149466192171,0.9428571181335775,0.8939201780284968,0.99644128113879,0.99644128113879,0.5261263345195729,0.47031494661921713,0.990909090909091,0.5528136363636363,0.4380954545454546,0.43809545454545457,0.8813055730945002,0.3974794936984558,,,,,3.2249855456871996,train,selected,0.99644128113879,0.5261263345195729,0.47031494661921713,0.4703149466192171,0.9428571181335775,0.8939201780284968,0.990909090909091,0.5528136363636363,0.4380954545454546,0.43809545454545457,0.8813055730945002,0.7924830824131098
liquipedia.net|SPORTS|other,liquipedia.net,SPORTS,other,55849207036427,0.40-0.50,2-4h,0.4,0.5,2,4,"{""price_min"": 0.4, ""price_max"": 0.5, ""horizon_min"": 2, ""horizon_max"": 4}",-1,173,74,1,248,0.24277456647398843,0.24277456647398843,,0.47021965317919073,-0.2274450867052023,-0.2274450867052023,-0.4580016071124345,0.4293196002269453,0.24277456647398843,0.24277456647398843,0.47021965317919073,-0.2274450867052023,0.0,0.4423851351351351,-0.4423851351351351,-0.4423851351351351,-0.8910028614322646,0.3930336315689186,,,0.0,-0.4245,3.1728181207846595,train,selected,0.7572254335260116,0.5297803468208093,0.2274450867052023,0.2274450867052023,0.4580016071124345,0.4293196002269453,1.0,0.5576148648648649,0.4423851351351351,0.4423851351351351,0.8910028614322646,0.7933524785827668
UNKNOWN|POLITICS|no_yes,UNKNOWN,POLITICS,no_yes,34571506123955,0.30-0.40,6-12h,0.3,0.4,6,12,"{""price_min"": 0.3, ""price_max"": 0.4, ""horizon_min"": 6, ""horizon_max"": 12}",1,153,16,5,174,0.6405228758169934,0.6405228758169934,,0.3522679738562091,0.2882549019607843,0.28825490196078435,0.6073235714758054,0.8182830213184409,0.6405228758169934,0.6405228758169934,0.3522679738562091,0.2882549019607843,1.0,0.3521875,0.6478125,0.6478125,1.3592378404397025,0.4541990817272802,,,0.6,0.22399999999999998,2.930924207110297,train,selected,0.6405228758169934,0.3522679738562091,0.2882549019607843,0.28825490196078435,0.6073235714758054,0.8182830213184409,1.0,0.3521875,0.6478125,0.6478125,1.3592378404397025,1.8393966282165042
liquipedia.net|SPORTS|other,liquipedia.net,SPORTS,other,94498482505532,0.50-0.60,1-2h,0.5,0.6,1,2,"{""price_min"": 0.5, ""price_max"": 0.6, ""horizon_min"": 1, ""horizon_max"": 2}",1,181,87,0,268,0.994475138121547,0.994475138121547,,0.532475138121547,0.46199999999999997,0.462,0.9266967983449835,0.867646143310714,0.994475138121547,0.994475138121547,0.532475138121547,0.46199999999999997,0.9885057471264368,0.553080459770115,0.4354252873563218,0.4354252873563218,0.8760392117208047,0.38464605536973595,,,,,2.786899983063918,train,selected,0.994475138121547,0.532475138121547,0.46199999999999997,0.462,0.9266967983449835,0.867646143310714,0.9885057471264368,0.553080459770115,0.4354252873563218,0.4354252873563218,0.8760392117208047,0.7872729539881124
liquipedia.net|SPORTS|over_under,liquipedia.net,SPORTS,over_under,9478784564551,0.40-0.50,2-4h,0.4,0.5,2,4,"{""price_min"": 0.4, ""price_max"": 0.5, ""horizon_min"": 2, ""horizon_max"": 4}",-1,36,54,0,90,0.027777777777777776,0.027777777777777776,,0.4485694444444444,-0.4207916666666666,-0.4207916666666667,-0.8468648552556826,0.7630909503060221,0.027777777777777776,0.027777777777777776,0.4485694444444444,-0.4207916666666666,0.0,0.44722222222222224,-0.44722222222222224,-0.44722222222222224,-0.8998255905508584,0.3808063554412203,,,,,2.6731152885055685,train,selected,0.9722222222222222,0.5514305555555556,0.4207916666666666,0.4207916666666667,0.8468648552556826,0.7630909503060221,1.0,0.5527777777777778,0.44722222222222224,0.44722222222222224,0.8998255905508584,0.8090452261306532
liquipedia.net|SPORTS|over_under,liquipedia.net,SPORTS,over_under,113001343198228,0.50-0.60,2-4h,0.5,0.6,2,4,"{""price_min"": 0.5, ""price_max"": 0.6, ""horizon_min"": 2, ""horizon_max"": 4}",1,27,52,0,79,0.9629629629629629,0.9629629629629629,,0.5451851851851852,0.4177777777777777,0.41777777777777775,0.8397920812529833,0.7663043478260868,0.9629629629629629,0.9629629629629629,0.5451851851851852,0.4177777777777777,1.0,0.5519903846153846,0.44800961538461537,0.44800961538461537,0.9009323287105085,0.3792150249717332,,,,,2.619249556396825,train,selected,0.9629629629629629,0.5451851851851852,0.4177777777777777,0.41777777777777775,0.8397920812529833,0.7663043478260868,1.0,0.5519903846153846,0.44800961538461537,0.44800961538461537,0.9009323287105085,0.8116257599247478
UNKNOWN|POLITICS|no_yes,UNKNOWN,POLITICS,no_yes,160612405264509,0.30-0.40,12-24h,0.3,0.4,12,24,"{""price_min"": 0.3, ""price_max"": 0.4, ""horizon_min"": 12, ""horizon_max"": 24}",1,148,23,5,176,0.6418918918918919,0.6418918918918919,,0.3517060810810811,0.2901858108108108,0.2901858108108108,0.6100501044049803,0.8250804476249939,0.6418918918918919,0.6418918918918919,0.3517060810810811,0.2901858108108108,0.9565217391304348,0.36634782608695654,0.5901739130434782,0.5901739130434782,1.2257438934602782,0.42373630897245224,,,0.8,0.455,2.5245235660103025,train,selected,0.6418918918918919,0.3517060810810811,0.2901858108108108,0.2901858108108108,0.6100501044049803,0.8250804476249939,0.9565217391304348,0.36634782608695654,0.5901739130434782,0.5901739130434782,1.2257438934602782,1.610966057441253
nba.com|SPORTS|no_yes,nba.com,SPORTS,no_yes,55272666699257,0.40-0.50,2-4h,0.4,0.5,2,4,"{""price_min"": 0.4, ""price_max"": 0.5, ""horizon_min"": 2, ""horizon_max"": 4}",-1,400,70,0,470,0.0075,0.0075,,0.447195,-0.439695,-0.43969500000000006,-0.8845544082333305,0.7953889707944032,0.0075,0.0075,0.447195,-0.439695,0.014285714285714285,0.44634999999999997,-0.4320642857142857,-0.4320642857142857,-0.8701411498173335,0.3697663029607309,,,,,2.413369739295479,train,selected,0.9925,0.552805,0.439695,0.43969500000000006,0.8845544082333305,0.7953889707944032,0.9857142857142858,0.55365,0.4320642857142857,0.4320642857142857,0.8701411498173335,0.7803924604249719
UNKNOWN|POLITICS|no_yes,UNKNOWN,POLITICS,no_yes,64340716159907,0.40-0.50,>24h,0.4,0.5,24,1000,"{""price_min"": 0.4, ""price_max"": 0.5, ""horizon_min"": 24, ""horizon_max"": 1000}",1,175,32,5,212,0.64,0.64,,0.4513971428571429,0.18860285714285713,0.18860285714285713,0.379933865924658,0.41782022799055624,0.64,0.64,0.4513971428571429,0.18860285714285713,0.96875,0.45234375,0.51640625,0.51640625,1.0395765315124412,0.39021017199627267,,,0.8,0.334,2.17402267230832,train,selected,0.64,0.4513971428571429,0.18860285714285713,0.18860285714285713,0.379933865924658,0.41782022799055624,0.96875,0.45234375,0.51640625,0.51640625,1.0395765315124412,1.1416234887737478
liquipedia.net|SPORTS|over_under,liquipedia.net,SPORTS,over_under,183937110385111,0.40-0.50,1-2h,0.4,0.5,1,2,"{""price_min"": 0.4, ""price_max"": 0.5, ""horizon_min"": 1, ""horizon_max"": 2}",-1,17,38,0,55,0.0,0.0,,0.45155882352941173,-0.45155882352941173,-0.45155882352941173,-0.9081149543913664,0.8233496004719256,0.0,0.0,0.45155882352941173,-0.45155882352941173,0.0,0.44418421052631585,-0.44418421052631585,-0.44418421052631585,-0.8941204488554204,0.35237127794247586,,,,,2.0922698261398667,train,selected,1.0,0.5484411764705883,0.45155882352941173,0.45155882352941173,0.9081149543913664,0.8233496004719256,1.0,0.5558157894736842,0.44418421052631585,0.44418421052631585,0.8941204488554204,0.7991572368732544
