feature_name,feature_family,grain,window,source_table,status,audit_class,implemented_in,match_quality,matched_feature_name,serving_asset,notes
category_expanding_abs_bias_mean,历史定价质量,category,expanding,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,category_expanding_abs_bias_mean,matched_existing_asset,)
category_expanding_bias_mean,历史定价质量,category,expanding,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,category_expanding_bias_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
category_expanding_brier_mean,历史定价质量,category,expanding,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,category_expanding_brier_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
category_expanding_logloss_mean,历史定价质量,category,expanding,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,category_expanding_logloss_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
category_recent_200_abs_bias_mean,历史定价质量,category,recent_200,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,category_recent_200_abs_bias_mean,matched_existing_asset,)
category_recent_200_bias_mean,历史定价质量,category,recent_200,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,category_recent_200_bias_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
category_recent_200_brier_mean,历史定价质量,category,recent_200,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,category_recent_200_brier_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
category_recent_200_logloss_mean,历史定价质量,category,recent_200,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,category_recent_200_logloss_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
category_recent_50_abs_bias_mean,历史定价质量,category,recent_50,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,category_recent_50_abs_bias_mean,matched_existing_asset,)
category_recent_50_bias_mean,历史定价质量,category,recent_50,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,category_recent_50_bias_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
category_recent_50_brier_mean,历史定价质量,category,recent_50,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,category_recent_50_brier_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
category_recent_50_logloss_mean,历史定价质量,category,recent_50,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,category_recent_50_logloss_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
domain_expanding_abs_bias_mean,历史定价质量,domain,expanding,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,domain_expanding_abs_bias_mean,matched_existing_asset,)
domain_expanding_bias_mean,历史定价质量,domain,expanding,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,domain_expanding_bias_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
domain_expanding_brier_mean,历史定价质量,domain,expanding,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,domain_expanding_brier_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
domain_expanding_logloss_mean,历史定价质量,domain,expanding,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,domain_expanding_logloss_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
domain_recent_200_abs_bias_mean,历史定价质量,domain,recent_200,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,domain_recent_200_abs_bias_mean,matched_existing_asset,)
domain_recent_200_bias_mean,历史定价质量,domain,recent_200,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,domain_recent_200_bias_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
domain_recent_200_brier_mean,历史定价质量,domain,recent_200,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,domain_recent_200_brier_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
domain_recent_200_logloss_mean,历史定价质量,domain,recent_200,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,domain_recent_200_logloss_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
domain_recent_50_abs_bias_mean,历史定价质量,domain,recent_50,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,domain_recent_50_abs_bias_mean,matched_existing_asset,)
domain_recent_50_bias_mean,历史定价质量,domain,recent_50,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,domain_recent_50_bias_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
domain_recent_50_brier_mean,历史定价质量,domain,recent_50,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,domain_recent_50_brier_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
domain_recent_50_logloss_mean,历史定价质量,domain,recent_50,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,domain_recent_50_logloss_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
global_expanding_abs_bias_mean,历史定价质量,global,expanding,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,global_expanding_abs_bias_mean,matched_existing_asset,)
global_expanding_bias_mean,历史定价质量,global,expanding,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,global_expanding_bias_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
global_expanding_brier_mean,历史定价质量,global,expanding,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,global_expanding_brier_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
global_expanding_logloss_mean,历史定价质量,global,expanding,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,global_expanding_logloss_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
global_recent_200_abs_bias_mean,历史定价质量,global,recent_200,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,global_recent_200_abs_bias_mean,matched_existing_asset,)
global_recent_200_bias_mean,历史定价质量,global,recent_200,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,global_recent_200_bias_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
global_recent_200_brier_mean,历史定价质量,global,recent_200,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,global_recent_200_brier_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
global_recent_200_logloss_mean,历史定价质量,global,recent_200,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,global_recent_200_logloss_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
global_recent_50_abs_bias_mean,历史定价质量,global,recent_50,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,global_recent_50_abs_bias_mean,matched_existing_asset,)
global_recent_50_bias_mean,历史定价质量,global,recent_50,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,global_recent_50_bias_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
global_recent_50_brier_mean,历史定价质量,global,recent_50,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,global_recent_50_brier_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
global_recent_50_logloss_mean,历史定价质量,global,recent_50,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,global_recent_50_logloss_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
market_type_expanding_abs_bias_mean,历史定价质量,market_type,expanding,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,market_type_expanding_abs_bias_mean,matched_existing_asset,)
market_type_expanding_bias_mean,历史定价质量,market_type,expanding,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,market_type_expanding_bias_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
market_type_expanding_brier_mean,历史定价质量,market_type,expanding,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,market_type_expanding_brier_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
market_type_expanding_logloss_mean,历史定价质量,market_type,expanding,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,market_type_expanding_logloss_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
market_type_recent_200_abs_bias_mean,历史定价质量,market_type,recent_200,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,market_type_recent_200_abs_bias_mean,matched_existing_asset,)
market_type_recent_200_bias_mean,历史定价质量,market_type,recent_200,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,market_type_recent_200_bias_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
market_type_recent_200_brier_mean,历史定价质量,market_type,recent_200,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,market_type_recent_200_brier_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
market_type_recent_200_logloss_mean,历史定价质量,market_type,recent_200,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,market_type_recent_200_logloss_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
market_type_recent_50_abs_bias_mean,历史定价质量,market_type,recent_50,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,market_type_recent_50_abs_bias_mean,matched_existing_asset,)
market_type_recent_50_bias_mean,历史定价质量,market_type,recent_50,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,market_type_recent_50_bias_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
market_type_recent_50_brier_mean,历史定价质量,market_type,recent_50,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,market_type_recent_50_brier_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
market_type_recent_50_logloss_mean,历史定价质量,market_type,recent_50,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,market_type_recent_50_logloss_mean,matched_existing_asset,必须严格只用当前样本之前已 resolved 的历史
domain_is_unknown,结构,domain,current,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,domain_is_unknown,matched_existing_asset,常对定价质量有影响
rule_category_matched_rule_count,规则表先验,category,matched_rule,blueprint,implemented_exact,C_already_implemented,blueprint_exact_name_match,exact,rule_category_matched_rule_count,matched_existing_asset,匹配逻辑可按当前 horizon/price bin/direction 与规则表联结
